	DEC_degrees	ID	MAG	RA_degrees
0	-16.71611	1	-1.46	101.28708
1	-52.69583	2	-0.72	95.98792
2	19.1825	3	-0.04	213.91542
3	-60.83528	4	-0.01	219.89958
4	38.78361	5	0.03	279.23459
5	45.99806	6	0.08	79.1725
6	-8.20167	7	0.12	78.63458
7	5.225	8	0.38	114.82542
8	-57.23667	9	0.46	24.42875
9	7.40694	10	0.5	88.79292
10	-60.37306	11	0.61	210.95583
11	8.86833	12	0.77	297.69583
12	16.50917	13	0.85	68.98
13	-26.43194	14	0.96	247.35167
14	-11.16139	15	0.98	201.29832
15	28.02611	16	1.14	116.32875
16	-29.62222	17	1.16	344.41293
17	-59.68861	18	1.25	191.92999
18	45.28028	19	1.25	310.35791
19	-63.09917	20	1.33	186.64958
20	-60.83556	21	1.33	219.90042
21	11.96722	22	1.35	152.09293
22	-28.97222	23	1.5	104.65625
23	-57.11333	24	1.63	187.79124
24	-37.10389	25	1.63	263.40207
25	6.34972	26	1.64	81.28292
26	28.6075	27	1.65	81.57292
27	-69.71722	28	1.68	138.3
28	-1.20194	29	1.7	84.05333
29	-63.09944	30	1.73	186.65208
30	-46.96111	31	1.74	332.05832
31	55.95972	32	1.77	193.50708
32	-47.33667	33	1.78	122.38333
33	49.86111	34	1.79	51.08083
34	61.75083	35	1.79	165.93208
35	-26.39333	36	1.84	107.09792
36	-34.38472	37	1.85	276.04291
37	-59.50972	38	1.86	125.62833
38	49.31333	39	1.86	206.88499
39	-42.99778	40	1.87	264.32999
40	44.9475	41	1.9	89.88208
41	-69.02778	42	1.92	252.16624
42	16.39917	43	1.93	99.42792
43	-56.735	44	1.94	306.41208
44	-54.70833	45	1.96	131.17583
45	-17.95583	46	1.98	95.675
46	31.88833	47	1.98	113.65
47	-8.65861	48	1.98	141.89667
48	23.4625	49	2.0	31.79333
49	25.92028	50	2.0	239.87582
50	89.26417	51	2.02	37.95292
51	-26.29667	52	2.02	283.81625
52	-17.98667	53	2.04	10.8975
53	-1.94278	54	2.05	85.18958
54	29.09056	55	2.06	2.09708
55	35.62056	56	2.06	17.43292
56	-9.66972	57	2.06	86.93917
57	-36.37	58	2.06	211.67084
58	74.15556	59	2.08	222.67625
59	12.56	60	2.08	263.73376
60	-46.88472	61	2.1	340.66708
61	40.95556	62	2.12	47.04208
62	14.57194	63	2.14	177.265
63	-48.95972	64	2.17	190.37917
64	40.25667	65	2.2	305.55707
65	-43.4325	66	2.21	136.99918
66	56.53722	67	2.23	10.12708
67	-0.29917	68	2.23	83.00167
68	26.71472	69	2.23	233.67207
69	51.48889	70	2.23	269.15167
70	-40.00333	71	2.25	120.89625
71	-59.27528	72	2.25	139.27251
72	42.32972	73	2.26	30.975
73	59.14972	74	2.27	2.29458
74	54.92528	75	2.27	200.98125
75	-34.29333	76	2.29	252.54083
76	-53.46639	77	2.3	204.97166
77	-47.38833	78	2.3	220.4825
78	-42.15778	79	2.31	218.87666
79	-22.62167	80	2.32	240.08333
80	56.3825	81	2.37	165.46042
81	-42.30611	82	2.39	6.57083
82	9.875	83	2.39	326.04666
83	-39.03	84	2.41	265.62207
84	28.08278	85	2.42	345.94376
85	-15.72472	86	2.43	257.59457
86	53.69472	87	2.44	178.4575
87	62.58556	88	2.44	319.64499
88	-29.30306	89	2.45	111.02375
89	33.97028	90	2.46	311.55292
90	60.71667	91	2.47	14.17708
91	15.20528	92	2.49	346.19043
92	-55.01083	93	2.5	140.52834
93	4.08972	94	2.53	45.57
94	-47.28833	95	2.55	208.88499
95	20.52361	96	2.56	168.52708
96	-10.56722	97	2.56	249.28958
97	-17.82222	98	2.58	83.1825
98	-17.54194	99	2.59	183.95168
99	-50.7225	100	2.6	182.08958
100	-29.88028	101	2.6	285.65292
101	19.84167	102	2.61	154.99292
102	-9.38306	103	2.61	229.25166
103	37.2125	104	2.62	89.93042
104	-19.80556	105	2.62	241.35918
105	20.80806	106	2.64	28.66
106	-34.07417	107	2.64	84.91208
107	-23.39667	108	2.65	188.59666
108	6.42556	109	2.65	236.06708
109	60.23528	110	2.68	21.45417
110	18.39778	111	2.68	208.67125
111	-43.13389	112	2.68	224.63292
112	33.16611	113	2.69	74.24833
113	-49.42	114	2.69	161.6925
114	-69.13556	115	2.69	189.29584
115	-37.29583	116	2.69	262.69083
116	-37.0975	117	2.7	109.28583
117	27.07417	118	2.7	221.24667
118	-29.82806	119	2.7	275.24875
119	10.61333	120	2.72	296.565
120	-3.69444	121	2.74	243.58624
121	61.51417	122	2.74	245.99792
122	-36.71222	123	2.75	200.14917
123	-16.04167	124	2.75	222.71957
124	-64.39444	125	2.76	160.73917
125	-5.91	126	2.77	83.85833
126	21.48972	127	2.77	247.55499
127	4.56722	128	2.77	265.86832
128	-41.16694	129	2.78	233.78542
129	-5.08639	130	2.79	76.9625
130	52.30139	131	2.79	262.60834
131	-77.25417	132	2.8	6.43792
132	-58.74889	133	2.8	183.78625
133	-24.30417	134	2.81	121.88583
134	31.60306	135	2.81	250.32167
135	-25.42167	136	2.81	276.99249
136	-28.21611	137	2.82	248.97083
137	15.18361	138	2.83	3.30917
138	10.95917	139	2.83	195.54417
139	-20.75944	140	2.84	82.06125
140	31.88361	141	2.85	58.53292
141	-63.43056	142	2.85	238.78542
142	-55.53	143	2.85	261.32501
143	-61.56972	144	2.86	29.6925
144	-60.25972	145	2.86	334.62543
145	24.105	146	2.87	56.87125
146	45.13083	147	2.87	296.24374
147	-16.12722	148	2.87	326.76001
148	22.51361	149	2.88	95.74
149	31.88861	150	2.88	113.65
150	40.01028	151	2.89	59.46333
151	-68.67944	152	2.89	229.72749
152	-26.11417	153	2.89	239.71292
153	-25.59278	154	2.89	245.29707
154	-21.02361	155	2.89	287.44083
155	8.28944	156	2.9	111.7875
156	38.31833	157	2.9	194.00708
157	-5.57111	158	2.91	322.88959
158	53.50639	159	2.93	46.19917
159	-50.61472	160	2.93	102.48417
160	30.22139	161	2.94	340.75043
161	-13.50861	162	2.95	59.5075
162	-16.51556	163	2.95	187.46625
163	-49.87611	164	2.95	262.96042
164	-0.31972	165	2.96	331.44583
165	25.13111	166	2.98	100.98292
166	23.77417	167	2.98	146.46292
167	43.82333	168	2.99	75.49208
168	-30.42417	169	2.99	271.45209
169	13.86333	170	2.99	286.35251
170	34.98722	171	3.0	32.38583
171	21.1425	172	3.0	84.41125
172	-22.61972	173	3.0	182.53125
173	-23.17167	174	3.0	199.73042
174	47.7875	175	3.01	55.73125
175	-65.07194	176	3.01	146.77542
176	44.49861	177	3.01	167.41583
177	-37.365	178	3.01	328.48209
178	-30.06333	179	3.02	95.07833
179	-23.83333	180	3.02	105.75625
180	38.30833	181	3.03	218.01958
181	-40.12694	182	3.03	266.89624
182	-2.9775	183	3.04	34.83625
183	-42.47389	184	3.04	207.40417
184	41.49944	185	3.05	155.58208
